,School,Wins,FG%,FT%,3P%,ORB,TRB,AST,STL,BLK,TOV,PF,tWins
302,Syracuse,15,0.436,0.785,0.328,251,834,347,206,114,261,332,2
303,Tarleton State,10,0.469,0.721,0.378,170,639,294,209,53,231,391,0
304,Temple,5,0.401,0.713,0.339,141,539,198,64,31,203,259,0
305,Tennessee-Martin,8,0.399,0.719,0.333,260,775,289,172,62,343,429,0
306,Tennessee State,4,0.423,0.683,0.288,215,775,268,170,73,353,478,0
307,Tennessee Tech,5,0.432,0.676,0.321,245,908,380,176,62,430,430,0
308,Tennessee,17,0.443,0.745,0.337,259,859,357,172,109,293,392,0
309,Texas A&M-Corpus Christi,5,0.418,0.685,0.33,206,816,308,165,74,401,425,0
310,Texas A&M,8,0.416,0.731,0.301,182,564,201,120,32,252,282,0
311,Texas-Arlington,13,0.408,0.736,0.357,303,974,353,214,122,311,434,0
312,Texas Christian,12,0.44,0.676,0.343,243,864,330,149,88,352,394,0
313,Texas-El Paso,12,0.426,0.747,0.332,199,794,279,145,64,254,400,0
314,Texas-Rio Grande Valley,9,0.409,0.639,0.3,249,719,277,166,78,269,393,0
315,Texas-San Antonio,14,0.45,0.76,0.339,278,927,351,154,79,284,437,0
316,Texas Southern,13,0.445,0.696,0.284,256,861,259,153,98,332,373,0
317,Texas State,18,0.463,0.707,0.38,231,821,331,171,73,332,421,0
318,Texas Tech,17,0.445,0.714,0.346,299,914,337,183,108,283,457,1
319,Texas,17,0.453,0.701,0.353,258,928,317,155,90,334,479,0
320,Toledo,20,0.458,0.785,0.386,282,1018,441,164,65,296,409,0
321,Towson,4,0.411,0.727,0.289,225,666,170,90,50,224,318,0
322,Troy,11,0.398,0.695,0.276,302,1056,320,175,87,417,480,0
323,Tulane,9,0.38,0.755,0.302,176,691,241,158,63,246,335,0
324,Tulsa,11,0.453,0.677,0.311,189,738,309,142,43,296,361,0
325,UCLA,17,0.463,0.72,0.373,241,868,346,127,66,276,392,4
326,Utah State,18,0.452,0.717,0.342,313,1013,412,178,116,343,385,0
327,Utah Valley,11,0.484,0.623,0.354,223,814,366,110,98,316,409,0
328,Utah,11,0.466,0.792,0.347,175,716,354,129,80,294,374,0
329,Valparaiso,10,0.419,0.727,0.298,196,920,356,183,97,346,445,0
330,Vanderbilt,8,0.433,0.721,0.352,228,778,292,163,56,324,408,0
331,Vermont,10,0.463,0.78,0.344,126,524,211,75,39,183,266,0
332,Villanova,16,0.451,0.773,0.355,202,725,323,113,32,193,320,2
333,Virginia Commonwealth,19,0.453,0.761,0.329,233,858,338,236,136,371,467,0
334,VMI,13,0.465,0.772,0.38,203,963,393,134,75,314,364,0
335,Virginia Tech,15,0.451,0.703,0.353,191,706,285,93,81,234,319,0
336,Virginia,17,0.481,0.812,0.386,147,729,318,113,97,214,296,0
337,Wagner,13,0.442,0.718,0.318,247,713,258,147,51,246,406,0
338,Wake Forest,6,0.411,0.725,0.342,183,680,238,133,47,293,352,0
339,Washington State,14,0.411,0.71,0.344,294,986,320,160,92,391,477,0
340,Washington,5,0.419,0.703,0.329,203,778,265,148,92,341,451,0
341,Weber State,17,0.508,0.785,0.393,139,726,336,144,68,276,363,0
342,West Virginia,18,0.428,0.718,0.359,353,998,361,189,74,313,427,1
343,Western Carolina,11,0.454,0.726,0.341,211,928,359,133,75,382,455,0
344,Western Illinois,7,0.404,0.715,0.316,258,839,225,116,67,286,444,0
345,Western Kentucky,18,0.456,0.781,0.343,258,919,317,160,103,357,346,0
346,Western Michigan,5,0.433,0.639,0.33,167,710,245,93,42,305,346,0
347,Wichita State,15,0.41,0.691,0.34,236,735,249,112,66,220,305,0
348,William & Mary,7,0.409,0.749,0.287,170,574,183,90,56,232,265,0
349,Winthrop,23,0.461,0.686,0.353,312,966,361,186,57,340,436,0
350,Wisconsin,16,0.421,0.76,0.353,227,912,357,163,102,237,440,1
351,Wofford,15,0.47,0.705,0.355,216,829,351,160,48,306,380,0
352,Wright State,18,0.483,0.724,0.37,284,1015,369,141,87,314,328,0
353,Wyoming,13,0.443,0.709,0.35,194,751,317,133,49,266,433,0
354,Xavier,13,0.458,0.694,0.321,188,755,355,143,82,226,312,0
356,Youngstown State,15,0.429,0.726,0.307,346,991,349,163,44,310,441,0
