,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
87,Eastern Illinois,27,9,18,.333,-12.07,-6.55,,6,14,,5,7,,4,11,,1874,2023,,1095,707,1623,.436,186,574,.324,274,417,.657,285,944,360,193,88,383,435
88,Eastern Kentucky,29,22,7,.759,-2.05,-7.61,,15,5,,10,2,,9,4,,2372,2137,,1180,871,1946,.448,279,778,.359,351,497,.706,306,1033,461,299,103,372,533
89,Eastern Michigan,18,6,12,.333,-12.98,0.02,,3,11,,5,4,,1,8,,1267,1362,,720,448,1077,.416,128,411,.311,243,326,.745,169,594,198,160,42,221,274
90,Eastern Washington,20,13,7,.650,2.22,-4.62,,12,3,,7,2,,6,5,,1586,1432,,800,564,1207,.467,175,485,.361,283,358,.791,154,705,305,99,58,225,349
91,Elon,18,10,8,.556,-4.36,-3.83,,4,7,,4,2,,3,6,,1193,1172,,720,424,1023,.414,150,454,.330,195,263,.741,159,626,199,98,38,213,347
92,Evansville,25,9,16,.360,-4.42,0.42,,7,11,,8,4,,1,10,,1619,1740,,1015,571,1299,.440,240,637,.377,237,330,.718,149,670,291,122,56,274,377
93,Fairfield,23,7,16,.304,-12.14,-5.70,,7,11,,4,8,,3,8,,1427,1575,,925,501,1249,.401,139,444,.313,286,413,.692,227,803,240,106,50,304,417
94,Fairleigh Dickinson,24,9,15,.375,-8.36,-4.65,,8,10,,4,6,,5,9,,1801,1890,,970,645,1432,.450,194,517,.375,317,445,.712,244,813,287,182,93,340,439
95,Florida A&M,19,8,11,.421,-11.52,-8.68,,7,5,,4,1,,4,10,,1239,1293,,760,471,1063,.443,92,286,.322,205,316,.649,195,670,246,122,49,321,337
96,Florida Atlantic,21,12,9,.571,-2.37,-5.60,,7,5,,7,1,,4,7,,1651,1392,,845,605,1297,.466,204,544,.375,237,364,.651,266,857,306,163,59,288,378
97,Florida Gulf Coast,18,10,8,.556,-9.38,-6.88,,4,4,,7,4,,2,2,,1292,1242,,720,483,1126,.429,146,499,.293,180,271,.664,206,700,246,134,77,265,280
98,Florida International,26,9,17,.346,-10.81,-2.86,,2,15,,7,8,,2,9,,1914,1985,,1055,690,1604,.430,273,816,.335,261,392,.666,252,847,388,219,105,380,463
99,Florida State,20,15,5,.750,18.60,9.05,,11,4,,12,1,,3,4,,1592,1401,,810,568,1204,.472,168,436,.385,288,391,.737,233,747,299,154,101,272,365
100,Florida,21,13,8,.619,15.70,10.89,,9,7,,6,3,,5,5,,1566,1465,,840,560,1192,.470,141,397,.355,305,405,.753,209,738,250,159,118,309,395
101,Fordham,14,2,12,.143,-10.44,4.35,,2,11,,2,5,,0,6,,725,932,,560,257,716,.359,79,294,.269,132,197,.670,95,415,153,87,28,187,221
102,Fresno State,22,11,11,.500,-3.45,0.45,,9,11,,7,5,,4,6,,1444,1469,,885,501,1186,.422,147,457,.322,295,441,.669,243,784,225,144,62,306,384
103,Furman,25,16,9,.640,6.57,-1.12,,10,5,,11,1,,5,7,,1990,1723,,1005,730,1499,.487,242,708,.342,288,398,.724,223,879,416,205,84,313,428
104,Gardner-Webb,26,11,15,.423,-3.15,-5.42,,10,10,,7,4,,4,11,,1837,1778,,1040,651,1465,.444,232,643,.361,303,439,.690,239,895,339,153,125,304,492
105,George Mason,22,13,9,.591,2.96,1.53,,8,6,,7,3,,3,4,,1569,1538,,905,578,1347,.429,160,487,.329,253,394,.642,254,834,287,159,93,282,353
106,George Washington,17,5,12,.294,-4.58,-0.41,,3,5,,3,6,,1,5,,1158,1229,,685,411,928,.443,102,315,.324,234,335,.699,136,582,194,107,46,233,247
107,Georgetown,21,9,12,.429,8.92,10.64,,7,9,,7,6,,2,6,,1505,1541,,845,529,1245,.425,179,489,.366,268,355,.755,244,839,284,122,86,332,345
108,Georgia Southern,26,13,13,.500,-9.54,-5.58,,7,9,,9,4,,4,8,,1860,1762,,1070,686,1536,.447,194,608,.319,294,463,.635,306,964,322,210,101,374,444
109,Georgia State,22,16,6,.727,-1.01,-3.91,,8,4,,9,1,,5,4,,1767,1599,,900,649,1386,.468,178,497,.358,291,425,.685,250,826,369,157,97,255,365
110,Georgia Tech,23,15,8,.652,14.03,8.42,,11,6,,11,3,,4,5,,1738,1609,,945,640,1347,.475,177,504,.351,281,385,.730,183,716,373,206,78,260,360
111,Georgia,25,14,11,.560,7.19,8.52,,7,11,,12,5,,2,6,,1944,1954,,1005,708,1543,.459,157,493,.318,371,538,.690,308,939,374,214,61,420,466
112,Gonzaga,25,25,0,1.000,26.60,3.08,,15,0,,12,0,,7,0,,2307,1719,,1000,859,1555,.552,178,494,.360,411,563,.730,242,950,462,212,72,309,422
113,Grambling,22,11,11,.500,-14.64,-13.02,,9,6,,6,4,,5,7,,1482,1507,,880,514,1202,.428,114,344,.331,340,509,.668,181,751,313,182,67,335,392
114,Grand Canyon,21,15,6,.714,2.08,-5.70,,9,3,,10,3,,5,1,,1583,1302,,840,592,1203,.492,140,428,.327,259,383,.676,215,831,348,101,61,278,364
115,Green Bay,25,8,17,.320,-9.01,-4.09,,8,12,,6,6,,2,11,,1790,1913,,1030,656,1507,.435,170,511,.333,308,411,.749,228,817,352,138,90,269,405
116,Hampton,25,11,14,.440,-12.99,-8.59,,9,9,,5,7,,6,7,,1721,1831,,1000,619,1437,.431,185,557,.332,298,411,.725,196,844,292,152,149,318,426
117,Hartford,22,14,8,.636,-3.32,-5.42,,8,6,,9,1,,5,6,,1451,1405,,880,523,1196,.437,171,514,.333,234,333,.703,180,726,246,152,43,282,356
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
119,Hawaii,20,11,9,.550,-4.13,-4.40,,9,9,,7,5,,4,4,,1451,1390,,815,515,1156,.446,159,436,.365,262,364,.720,210,721,236,115,30,277,338
120,High Point,24,9,15,.375,-10.05,-6.84,,6,11,,5,5,,4,10,,1600,1677,,965,564,1357,.416,115,396,.290,357,520,.687,279,851,292,158,90,303,428
121,Hofstra,23,13,10,.565,-1.82,-1.99,,8,6,,7,3,,5,6,,1683,1679,,925,595,1342,.443,174,527,.330,319,445,.717,241,816,293,152,68,279,368
122,Holy Cross,16,5,11,.313,-0.12,5.31,,5,11,,2,7,,3,4,,1130,1217,,645,423,951,.445,111,312,.356,173,248,.698,150,521,190,108,61,206,305
123,Houston Baptist,23,5,18,.217,-16.97,-4.88,,4,11,,4,6,,1,12,,1644,1877,,925,587,1368,.429,191,556,.344,279,380,.734,208,776,331,156,87,391,392
124,Houston,24,21,3,.875,21.82,4.26,,14,3,,15,0,,5,3,,1852,1382,,960,650,1485,.438,222,623,.356,330,450,.733,352,990,326,205,110,265,453
