,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
94,Fairleigh Dickinson,24,9,15,.375,-8.36,-4.65,,8,10,,4,6,,5,9,,1801,1890,,71.9,103.2,.311,.361,.548,47.8,44.5,10.4,10.4,.518,17.1,28.7,.221
95,Florida A&M,19,8,11,.421,-11.52,-8.68,,7,5,,4,1,,4,10,,1239,1293,,70.5,92.5,.297,.269,.511,50.0,52.2,9.1,6.9,.486,20.9,30.3,.193
96,Florida Atlantic,21,12,9,.571,-2.37,-5.60,,7,5,,7,1,,4,7,,1651,1392,,70.7,110.6,.281,.419,.562,55.8,50.6,10.9,7.9,.545,16.4,34.6,.183
97,Florida Gulf Coast,18,10,8,.556,-9.38,-6.88,,4,4,,7,4,,2,2,,1292,1242,,72.5,99.0,.241,.443,.515,50.9,50.9,10.3,11.2,.494,17.4,29.9,.160
98,Florida International,26,9,17,.346,-10.81,-2.86,,2,15,,7,8,,2,9,,1914,1985,,72.8,99.7,.244,.509,.535,46.0,56.2,11.4,10.0,.515,17.5,26.2,.163
99,Florida State,20,15,5,.750,18.60,9.05,,11,4,,12,1,,3,4,,1592,1401,,70.3,111.8,.325,.362,.573,53.2,52.6,10.8,14.7,.542,16.4,35.0,.239
100,Florida,21,13,8,.619,15.70,10.89,,9,7,,6,3,,5,5,,1566,1465,,71.1,105.0,.340,.333,.566,50.7,44.6,10.7,14.6,.529,18.2,30.7,.256
101,Fordham,14,2,12,.143,-10.44,4.35,,2,11,,2,5,,0,6,,725,932,,64.2,80.6,.275,.411,.448,43.5,59.5,9.7,7.0,.414,18.8,19.2,.184
102,Fresno State,22,11,11,.500,-3.45,0.45,,9,11,,7,5,,4,6,,1444,1469,,66.3,98.4,.372,.385,.517,52.2,44.9,9.8,8.3,.484,18.0,31.5,.249
103,Furman,25,16,9,.640,6.57,-1.12,,10,5,,11,1,,5,7,,1990,1723,,70.9,111.8,.266,.472,.589,51.6,57.0,11.5,9.5,.568,15.6,27.2,.192
104,Gardner-Webb,26,11,15,.423,-3.15,-5.42,,10,10,,7,4,,4,11,,1837,1778,,67.0,105.5,.300,.439,.549,49.5,52.1,8.8,14.7,.524,15.4,26.7,.207
105,George Mason,22,13,9,.591,2.96,1.53,,8,6,,7,3,,3,4,,1569,1538,,69.2,100.2,.293,.362,.511,51.9,49.7,10.2,11.4,.488,15.5,30.2,.188
106,George Washington,17,5,12,.294,-4.58,-0.41,,3,5,,3,6,,1,5,,1158,1229,,68.9,98.1,.361,.339,.533,49.3,47.2,9.1,7.0,.498,17.6,24.5,.252
107,Georgetown,21,9,12,.429,8.92,10.64,,7,9,,7,6,,2,6,,1505,1541,,71.0,100.3,.285,.393,.532,53.0,53.7,8.1,10.6,.497,19.0,32.1,.215
108,Georgia Southern,26,13,13,.500,-9.54,-5.58,,7,9,,9,4,,4,8,,1860,1762,,68.4,101.7,.301,.396,.530,51.9,46.9,11.5,11.3,.510,17.6,32.5,.191
109,Georgia State,22,16,6,.727,-1.01,-3.91,,8,4,,9,1,,5,4,,1767,1599,,71.2,110.4,.307,.359,.556,50.4,56.9,9.8,12.2,.532,13.8,31.3,.210
110,Georgia Tech,23,15,8,.652,14.03,8.42,,11,6,,11,3,,4,5,,1738,1609,,68.1,108.0,.286,.374,.568,47.4,58.3,12.8,9.2,.541,14.5,24.3,.209
111,Georgia,25,14,11,.560,7.19,8.52,,7,11,,12,5,,2,6,,1944,1954,,76.0,101.8,.349,.320,.540,51.0,52.8,11.2,6.3,.510,18.9,33.4,.240
112,Gonzaga,25,25,0,1.000,26.60,3.08,,15,0,,12,0,,7,0,,2307,1719,,75.5,122.2,.362,.318,.633,55.5,53.8,11.2,7.2,.610,14.5,30.7,.264
