,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
111,Grambling,34,17,17,.500,-9.73,-9.34,,10,8,,11,3,,6,12,,2426,2336,,71.5,95.4,.409,.361,.488,49.2,51.8,9.6,8.6,.444,15.6,28.2,.278
112,Grand Canyon,34,20,14,.588,3.85,-1.49,,10,6,,12,2,,5,8,,2560,2353,,69.6,98.7,.300,.355,.529,48.2,43.4,7.8,8.2,.498,17.3,25.3,.214
113,Green Bay,38,21,17,.553,-2.24,-0.36,,10,8,,15,3,,5,13,,3090,3036,,76.4,103.5,.318,.398,.542,51.8,48.8,9.1,7.3,.512,17.0,29.6,.225
114,Hampton,35,18,17,.514,-3.34,-5.06,,9,7,,12,3,,6,12,,2847,2669,,73.3,101.9,.340,.397,.527,49.3,52.4,6.5,9.0,.491,14.7,26.2,.243
115,Hartford,33,18,15,.545,-3.95,-4.89,,10,6,,10,4,,8,9,,2477,2407,,68.0,105.3,.302,.399,.551,52.5,50.4,8.5,11.3,.520,17.0,30.8,.219
116,Harvard,31,19,12,.613,1.86,0.66,,10,4,,9,2,,8,9,,2222,2174,,68.5,100.4,.338,.381,.533,46.7,49.1,10.8,8.5,.499,15.8,23.6,.239
117,Hawaii,31,18,13,.581,-1.30,-3.61,,9,7,,12,5,,4,5,,2241,2131,,67.6,100.9,.325,.346,.534,48.9,45.5,8.4,7.1,.507,15.7,24.4,.220
118,High Point,31,16,15,.516,-5.63,-4.39,,9,7,,9,4,,5,8,,2115,2105,,65.5,102.5,.289,.470,.528,45.0,52.3,8.5,10.6,.499,14.5,24.9,.202
119,Hofstra,35,27,8,.771,4.68,-4.53,,15,3,,15,1,,10,6,,2919,2553,,68.3,103.9,.252,.370,.540,49.7,53.6,6.6,7.3,.516,16.0,29.2,.176
120,Holy Cross,33,16,17,.485,-6.43,-4.01,,6,12,,8,6,,6,11,,2216,2296,,65.0,105.8,.268,.434,.564,56.5,56.4,8.7,7.9,.538,19.1,32.7,.196
121,Houston Baptist,30,12,18,.400,-9.36,-5.53,,8,10,,9,4,,3,13,,2465,2484,,75.0,108.1,.346,.342,.591,47.8,53.3,9.7,9.2,.560,18.4,28.1,.256
122,Houston NCAA,37,33,4,.892,18.91,4.61,,16,2,,19,1,,10,1,,2787,2258,,67.3,90.6,.373,.411,.471,45.1,49.9,7.8,6.4,.425,15.9,25.5,.259
123,Howard,34,17,17,.500,-12.30,-9.52,,10,6,,6,8,,9,8,,2684,2661,,74.8,103.9,.371,.382,.540,51.9,53.6,7.6,6.2,.502,17.2,32.5,.268
